sku,name,short_description,description,brand,mfn,stock,list_price,market_price,vendor_cost,special_price,weight,length,width,height,google_category,vendor_category,store_category,vendor_subcategory_1,vendor_subcategory_2,vendor_subcategory_3,vendor_subcategory_4,store_subcategory_1,store_subcategory_2,store_subcategory_3,store_subcategory_4,published,featured,visibility,vendor_id,meta_title,meta_description,meta_keywords
SKU-0050,Waterproof Tablet 50,A high-quality tablet with waterproof features.,This is a detailed description for the new Waterproof Tablet 50 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,111,101.1,116.04,73.7,86.96,3.66,26.11,12.23,10.91,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Monitors,Tablets,Monitors,,Monitors,Tablets,Monitors,,1,1,public,VEND001,Waterproof Tablet 50 | GlobalTech,Discover the new Waterproof Tablet 50 from GlobalTech. Perfect for your needs.,"tablet, waterproof, globaltech, electronics"
SKU-0051,Portable E-Reader 51,A high-quality e-reader with portable features.,This is a detailed description for the new Portable E-Reader 51 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,133,946.98,1052.99,661.42,808.55,0.51,36.69,10.12,11.67,Electronics > Wearable Technology,Wearable Technology,Electronics,Smartwatches,Smartwatches,,,Smartwatches,Smartwatches,,,1,1,public,VEND003,Portable E-Reader 51 | GlobalTech,Discover the new Portable E-Reader 51 from GlobalTech. Perfect for your needs.,"e-reader, portable, globaltech, electronics"
SKU-0052,Lightweight Gaming Console 52,A high-quality gaming console with lightweight features.,This is a detailed description for the new Lightweight Gaming Console 52 from the DigitalPrime lineup. It is designed for optimal performance and user experience.,DigitalPrime,,117,1555.15,1707.86,1220.11,1451.62,4.87,28.17,12.15,7.43,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Drones,Drones,,,Drones,Drones,,,0,1,private,VEND003,Lightweight Gaming Console 52 | DigitalPrime,Discover the new Lightweight Gaming Console 52 from DigitalPrime. Perfect for your needs.,"gaming console, lightweight, digitalprime, electronics"
SKU-0053,Portable Camera 53,A high-quality camera with portable features.,This is a detailed description for the new Portable Camera 53 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,31,500.05,547.07,395.07,435.75,1.2,48.61,21.43,9.89,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Tablets,Monitors,Laptops,,Tablets,Monitors,Laptops,,1,0,public,VEND005,Portable Camera 53 | TechCorp,Discover the new Portable Camera 53 from TechCorp. Perfect for your needs.,"camera, portable, techcorp, electronics"
SKU-0054,Lightweight Smartphone 54,A high-quality smartphone with lightweight features.,This is a detailed description for the new Lightweight Smartphone 54 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,116,1979.99,2100.39,1331.27,1844.9,1.61,23.28,7.69,8.26,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Monitors,Laptops,Laptops,,Monitors,Laptops,Laptops,,0,1,private,VEND003,Lightweight Smartphone 54 | TechCorp,Discover the new Lightweight Smartphone 54 from TechCorp. Perfect for your needs.,"smartphone, lightweight, techcorp, electronics"
SKU-0055,Waterproof Tablet 55,A high-quality tablet with waterproof features.,This is a detailed description for the new Waterproof Tablet 55 from the DigitalPrime lineup. It is designed for optimal performance and user experience.,DigitalPrime,,19,367.23,435.72,274.18,329.33,3.21,37.08,9.85,14.99,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Drones,Drones,,,Drones,Drones,,,0,1,private,VEND002,Waterproof Tablet 55 | DigitalPrime,Discover the new Waterproof Tablet 55 from DigitalPrime. Perfect for your needs.,"tablet, waterproof, digitalprime, electronics"
SKU-0056,Waterproof Smartwatch 56,A high-quality smartwatch with waterproof features.,This is a detailed description for the new Waterproof Smartwatch 56 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,108,992.78,1104.22,710.5,928.28,3.65,40.73,38.78,9.64,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Drones,Digital Cameras,,,Drones,Digital Cameras,,,0,1,private,VEND004,Waterproof Smartwatch 56 | ElectroWorks,Discover the new Waterproof Smartwatch 56 from ElectroWorks. Perfect for your needs.,"smartwatch, waterproof, electroworks, electronics"
SKU-0057,Wireless Monitor 57,A high-quality monitor with wireless features.,This is a detailed description for the new Wireless Monitor 57 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,59,1676.36,1844.47,1257.34,1472.04,3.21,21.67,13.31,14.57,Electronics > Wearable Technology,Wearable Technology,Electronics,Fitness Trackers,Fitness Trackers,,,Fitness Trackers,Fitness Trackers,,,1,0,public,VEND002,Wireless Monitor 57 | TechCorp,Discover the new Wireless Monitor 57 from TechCorp. Perfect for your needs.,"monitor, wireless, techcorp, electronics"
SKU-0058,High-Resolution Drone 58,A high-quality drone with high-resolution features.,This is a detailed description for the new High-Resolution Drone 58 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,119,308.56,330.75,196.6,274.75,1.24,30.17,7.91,5.21,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Drones,Drones,,,Drones,Drones,,,0,0,private,VEND002,High-Resolution Drone 58 | GlobalTech,Discover the new High-Resolution Drone 58 from GlobalTech. Perfect for your needs.,"drone, high-resolution, globaltech, electronics"
SKU-0059,High-Resolution Headphones 59,A high-quality headphones with high-resolution features.,This is a detailed description for the new High-Resolution Headphones 59 from the InnoGadgets lineup. It is designed for optimal performance and user experience.,InnoGadgets,,85,1336.1,1572.62,918.21,1263.29,0.56,5.41,19.33,2.47,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Drones,Drones,,,Drones,Drones,,,1,1,public,VEND002,High-Resolution Headphones 59 | InnoGadgets,Discover the new High-Resolution Headphones 59 from InnoGadgets. Perfect for your needs.,"headphones, high-resolution, innogadgets, electronics"
SKU-0060,Ergonomic Laptop 60,A high-quality laptop with ergonomic features.,This is a detailed description for the new Ergonomic Laptop 60 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,125,1294.89,1426.8,938.71,1173.32,0.63,16.49,28.75,14.23,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Drones,Drones,,,Drones,Drones,,,0,1,private,VEND005,Ergonomic Laptop 60 | ElectroWorks,Discover the new Ergonomic Laptop 60 from ElectroWorks. Perfect for your needs.,"laptop, ergonomic, electroworks, electronics"
SKU-0061,Ergonomic Smartwatch 61,A high-quality smartwatch with ergonomic features.,This is a detailed description for the new Ergonomic Smartwatch 61 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,15,857.89,935.64,582.93,753.65,3.78,22.91,31.62,10.26,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Digital Cameras,Drones,,,Digital Cameras,Drones,,,0,0,private,VEND004,Ergonomic Smartwatch 61 | GlobalTech,Discover the new Ergonomic Smartwatch 61 from GlobalTech. Perfect for your needs.,"smartwatch, ergonomic, globaltech, electronics"
SKU-0062,High-Resolution Headphones 62,A high-quality headphones with high-resolution features.,This is a detailed description for the new High-Resolution Headphones 62 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,61,283.5,308.52,219.53,255.69,0.24,43.95,11.58,3.43,Electronics > Audio,Audio,Electronics,Headphones,Speakers,,,Headphones,Speakers,,,0,0,private,VEND005,High-Resolution Headphones 62 | GlobalTech,Discover the new High-Resolution Headphones 62 from GlobalTech. Perfect for your needs.,"headphones, high-resolution, globaltech, electronics"
SKU-0063,Ergonomic Gaming Console 63,A high-quality gaming console with ergonomic features.,This is a detailed description for the new Ergonomic Gaming Console 63 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,141,63.85,67.29,45.38,56.62,1.99,19.06,35.11,11.81,Electronics > Wearable Technology,Wearable Technology,Electronics,Smartwatches,Fitness Trackers,,,Smartwatches,Fitness Trackers,,,0,0,private,VEND003,Ergonomic Gaming Console 63 | TechCorp,Discover the new Ergonomic Gaming Console 63 from TechCorp. Perfect for your needs.,"gaming console, ergonomic, techcorp, electronics"
SKU-0064,Noise-Cancelling Monitor 64,A high-quality monitor with noise-cancelling features.,This is a detailed description for the new Noise-Cancelling Monitor 64 from the InnoGadgets lineup. It is designed for optimal performance and user experience.,InnoGadgets,,144,1625.46,1791.35,1292.75,1535.14,4.46,15.23,35.47,9.91,Electronics > Wearable Technology,Wearable Technology,Electronics,Smartwatches,Fitness Trackers,,,Smartwatches,Fitness Trackers,,,1,1,public,VEND002,Noise-Cancelling Monitor 64 | InnoGadgets,Discover the new Noise-Cancelling Monitor 64 from InnoGadgets. Perfect for your needs.,"monitor, noise-cancelling, innogadgets, electronics"
SKU-0065,Wireless Laptop 65,A high-quality laptop with wireless features.,This is a detailed description for the new Wireless Laptop 65 from the InnoGadgets lineup. It is designed for optimal performance and user experience.,InnoGadgets,,112,1954.49,2147.9,1404.69,1723.47,1.93,8.25,11.62,6.49,Electronics > Wearable Technology,Wearable Technology,Electronics,Smartwatches,Fitness Trackers,,,Smartwatches,Fitness Trackers,,,0,1,private,VEND004,Wireless Laptop 65 | InnoGadgets,Discover the new Wireless Laptop 65 from InnoGadgets. Perfect for your needs.,"laptop, wireless, innogadgets, electronics"
SKU-0066,Portable Laptop 66,A high-quality laptop with portable features.,This is a detailed description for the new Portable Laptop 66 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,135,351.11,371.69,224.92,333.31,1.27,35.78,15.85,8.19,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Monitors,Tablets,Monitors,,Monitors,Tablets,Monitors,,1,0,public,VEND003,Portable Laptop 66 | GlobalTech,Discover the new Portable Laptop 66 from GlobalTech. Perfect for your needs.,"laptop, portable, globaltech, electronics"
SKU-0067,Portable E-Reader 67,A high-quality e-reader with portable features.,This is a detailed description for the new Portable E-Reader 67 from the InnoGadgets lineup. It is designed for optimal performance and user experience.,InnoGadgets,,4,1609.69,1800.41,1013.97,1497.43,3.16,43.03,11.91,4.06,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Digital Cameras,Drones,,,Digital Cameras,Drones,,,0,1,private,VEND002,Portable E-Reader 67 | InnoGadgets,Discover the new Portable E-Reader 67 from InnoGadgets. Perfect for your needs.,"e-reader, portable, innogadgets, electronics"
SKU-0068,Noise-Cancelling Gaming Console 68,A high-quality gaming console with noise-cancelling features.,This is a detailed description for the new Noise-Cancelling Gaming Console 68 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,80,1874.17,2236.66,1317.48,1693.71,3.36,27.01,17.79,8.12,Electronics > Audio,Audio,Electronics,Speakers,Speakers,,,Speakers,Speakers,,,1,0,public,VEND002,Noise-Cancelling Gaming Console 68 | ElectroWorks,Discover the new Noise-Cancelling Gaming Console 68 from ElectroWorks. Perfect for your needs.,"gaming console, noise-cancelling, electroworks, electronics"
SKU-0069,Portable Tablet 69,A high-quality tablet with portable features.,This is a detailed description for the new Portable Tablet 69 from the InnoGadgets lineup. It is designed for optimal performance and user experience.,InnoGadgets,,64,591.64,632.72,458.09,517.16,1.87,17.0,5.08,12.39,Electronics > Audio,Audio,Electronics,Headphones,Headphones,,,Headphones,Headphones,,,0,1,private,VEND004,Portable Tablet 69 | InnoGadgets,Discover the new Portable Tablet 69 from InnoGadgets. Perfect for your needs.,"tablet, portable, innogadgets, electronics"
SKU-0070,Wireless E-Reader 70,A high-quality e-reader with wireless features.,This is a detailed description for the new Wireless E-Reader 70 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,95,1796.91,2077.55,1313.98,1656.66,2.17,26.71,22.14,2.89,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Laptops,Monitors,Monitors,,Laptops,Monitors,Monitors,,1,0,public,VEND005,Wireless E-Reader 70 | TechCorp,Discover the new Wireless E-Reader 70 from TechCorp. Perfect for your needs.,"e-reader, wireless, techcorp, electronics"
SKU-0071,Sleek E-Reader 71,A high-quality e-reader with sleek features.,This is a detailed description for the new Sleek E-Reader 71 from the DigitalPrime lineup. It is designed for optimal performance and user experience.,DigitalPrime,,134,474.46,517.33,350.79,433.52,0.98,26.22,29.71,1.41,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Drones,Drones,,,Drones,Drones,,,1,0,public,VEND002,Sleek E-Reader 71 | DigitalPrime,Discover the new Sleek E-Reader 71 from DigitalPrime. Perfect for your needs.,"e-reader, sleek, digitalprime, electronics"
SKU-0072,Portable Camera 72,A high-quality camera with portable features.,This is a detailed description for the new Portable Camera 72 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,119,1174.11,1312.96,834.07,1032.69,3.24,45.92,26.41,9.45,Electronics > Wearable Technology,Wearable Technology,Electronics,Fitness Trackers,Fitness Trackers,,,Fitness Trackers,Fitness Trackers,,,0,1,private,VEND002,Portable Camera 72 | ElectroWorks,Discover the new Portable Camera 72 from ElectroWorks. Perfect for your needs.,"camera, portable, electroworks, electronics"
SKU-0073,Wireless Smartwatch 73,A high-quality smartwatch with wireless features.,This is a detailed description for the new Wireless Smartwatch 73 from the InnoGadgets lineup. It is designed for optimal performance and user experience.,InnoGadgets,,96,1660.9,1882.29,1290.85,1429.05,4.24,12.33,20.98,1.89,Electronics > Wearable Technology,Wearable Technology,Electronics,Smartwatches,Smartwatches,,,Smartwatches,Smartwatches,,,0,1,private,VEND004,Wireless Smartwatch 73 | InnoGadgets,Discover the new Wireless Smartwatch 73 from InnoGadgets. Perfect for your needs.,"smartwatch, wireless, innogadgets, electronics"
SKU-0074,Wireless Monitor 74,A high-quality monitor with wireless features.,This is a detailed description for the new Wireless Monitor 74 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,137,1422.3,1704.33,945.87,1347.94,1.43,39.83,27.85,10.11,Electronics > Wearable Technology,Wearable Technology,Electronics,Smartwatches,Smartwatches,,,Smartwatches,Smartwatches,,,1,0,public,VEND001,Wireless Monitor 74 | ElectroWorks,Discover the new Wireless Monitor 74 from ElectroWorks. Perfect for your needs.,"monitor, wireless, electroworks, electronics"
SKU-0075,Lightweight Monitor 75,A high-quality monitor with lightweight features.,This is a detailed description for the new Lightweight Monitor 75 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,130,1252.18,1393.22,816.57,1078.65,2.69,35.47,32.39,9.53,Electronics > Wearable Technology,Wearable Technology,Electronics,Fitness Trackers,Fitness Trackers,,,Fitness Trackers,Fitness Trackers,,,0,1,private,VEND002,Lightweight Monitor 75 | GlobalTech,Discover the new Lightweight Monitor 75 from GlobalTech. Perfect for your needs.,"monitor, lightweight, globaltech, electronics"
SKU-0076,Lightweight Smartwatch 76,A high-quality smartwatch with lightweight features.,This is a detailed description for the new Lightweight Smartwatch 76 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,86,223.49,235.1,166.51,201.44,3.48,48.35,27.44,9.56,Electronics > Wearable Technology,Wearable Technology,Electronics,Smartwatches,Smartwatches,,,Smartwatches,Smartwatches,,,0,1,private,VEND002,Lightweight Smartwatch 76 | ElectroWorks,Discover the new Lightweight Smartwatch 76 from ElectroWorks. Perfect for your needs.,"smartwatch, lightweight, electroworks, electronics"
SKU-0077,Noise-Cancelling Laptop 77,A high-quality laptop with noise-cancelling features.,This is a detailed description for the new Noise-Cancelling Laptop 77 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,111,992.48,1090.53,728.08,909.98,2.58,22.22,26.39,10.98,Electronics > Gaming,Gaming,Electronics,Consoles,Consoles,,,Consoles,Consoles,,,0,0,private,VEND003,Noise-Cancelling Laptop 77 | ElectroWorks,Discover the new Noise-Cancelling Laptop 77 from ElectroWorks. Perfect for your needs.,"laptop, noise-cancelling, electroworks, electronics"
SKU-0078,Professional E-Reader 78,A high-quality e-reader with professional features.,This is a detailed description for the new Professional E-Reader 78 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,119,558.11,650.91,375.87,479.36,1.88,15.0,25.78,7.15,Electronics > Audio,Audio,Electronics,Speakers,Headphones,,,Speakers,Headphones,,,1,0,public,VEND005,Professional E-Reader 78 | GlobalTech,Discover the new Professional E-Reader 78 from GlobalTech. Perfect for your needs.,"e-reader, professional, globaltech, electronics"
SKU-0079,Portable Headphones 79,A high-quality headphones with portable features.,This is a detailed description for the new Portable Headphones 79 from the DigitalPrime lineup. It is designed for optimal performance and user experience.,DigitalPrime,,105,1086.23,1256.84,843.05,1011.41,2.61,48.61,23.17,6.63,Electronics > Gaming,Gaming,Electronics,Consoles,Consoles,,,Consoles,Consoles,,,1,0,public,VEND001,Portable Headphones 79 | DigitalPrime,Discover the new Portable Headphones 79 from DigitalPrime. Perfect for your needs.,"headphones, portable, digitalprime, electronics"
SKU-0080,Ergonomic Laptop 80,A high-quality laptop with ergonomic features.,This is a detailed description for the new Ergonomic Laptop 80 from the DigitalPrime lineup. It is designed for optimal performance and user experience.,DigitalPrime,,85,1002.84,1084.27,646.56,872.93,2.35,43.59,6.03,3.35,Electronics > Gaming,Gaming,Electronics,Consoles,Consoles,,,Consoles,Consoles,,,1,1,public,VEND004,Ergonomic Laptop 80 | DigitalPrime,Discover the new Ergonomic Laptop 80 from DigitalPrime. Perfect for your needs.,"laptop, ergonomic, digitalprime, electronics"
SKU-0081,Ultra-Fast E-Reader 81,A high-quality e-reader with ultra-fast features.,This is a detailed description for the new Ultra-Fast E-Reader 81 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,1,848.2,921.49,677.75,748.97,0.21,22.09,34.45,1.54,Electronics > Gaming,Gaming,Electronics,PC Gaming,Consoles,,,PC Gaming,Consoles,,,0,0,private,VEND001,Ultra-Fast E-Reader 81 | ElectroWorks,Discover the new Ultra-Fast E-Reader 81 from ElectroWorks. Perfect for your needs.,"e-reader, ultra-fast, electroworks, electronics"
SKU-0082,Waterproof Laptop 82,A high-quality laptop with waterproof features.,This is a detailed description for the new Waterproof Laptop 82 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,82,667.66,707.98,403.35,579.04,4.35,47.29,8.43,1.9,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Monitors,Tablets,Monitors,,Monitors,Tablets,Monitors,,1,0,public,VEND001,Waterproof Laptop 82 | ElectroWorks,Discover the new Waterproof Laptop 82 from ElectroWorks. Perfect for your needs.,"laptop, waterproof, electroworks, electronics"
SKU-0083,Lightweight Gaming Console 83,A high-quality gaming console with lightweight features.,This is a detailed description for the new Lightweight Gaming Console 83 from the DigitalPrime lineup. It is designed for optimal performance and user experience.,DigitalPrime,,43,370.47,419.92,270.6,321.18,3.43,49.59,15.69,14.29,Electronics > Gaming,Gaming,Electronics,Consoles,PC Gaming,,,Consoles,PC Gaming,,,0,1,private,VEND002,Lightweight Gaming Console 83 | DigitalPrime,Discover the new Lightweight Gaming Console 83 from DigitalPrime. Perfect for your needs.,"gaming console, lightweight, digitalprime, electronics"
SKU-0084,Noise-Cancelling Smartphone 84,A high-quality smartphone with noise-cancelling features.,This is a detailed description for the new Noise-Cancelling Smartphone 84 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,60,591.79,628.96,378.06,505.79,2.25,7.71,16.55,8.76,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Monitors,Monitors,Laptops,,Monitors,Monitors,Laptops,,0,1,private,VEND003,Noise-Cancelling Smartphone 84 | GlobalTech,Discover the new Noise-Cancelling Smartphone 84 from GlobalTech. Perfect for your needs.,"smartphone, noise-cancelling, globaltech, electronics"
SKU-0085,Wireless Gaming Console 85,A high-quality gaming console with wireless features.,This is a detailed description for the new Wireless Gaming Console 85 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,107,820.79,926.66,530.89,752.22,2.87,12.02,14.07,4.65,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Tablets,Laptops,Tablets,,Tablets,Laptops,Tablets,,0,0,private,VEND001,Wireless Gaming Console 85 | GlobalTech,Discover the new Wireless Gaming Console 85 from GlobalTech. Perfect for your needs.,"gaming console, wireless, globaltech, electronics"
SKU-0086,Lightweight Camera 86,A high-quality camera with lightweight features.,This is a detailed description for the new Lightweight Camera 86 from the InnoGadgets lineup. It is designed for optimal performance and user experience.,InnoGadgets,,44,736.54,845.8,446.46,658.74,3.94,23.9,14.65,5.68,Electronics > Gaming,Gaming,Electronics,Consoles,PC Gaming,,,Consoles,PC Gaming,,,0,1,private,VEND004,Lightweight Camera 86 | InnoGadgets,Discover the new Lightweight Camera 86 from InnoGadgets. Perfect for your needs.,"camera, lightweight, innogadgets, electronics"
SKU-0087,Sleek Monitor 87,A high-quality monitor with sleek features.,This is a detailed description for the new Sleek Monitor 87 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,17,514.78,568.58,400.98,453.89,3.62,47.02,34.54,10.14,Electronics > Wearable Technology,Wearable Technology,Electronics,Smartwatches,Smartwatches,,,Smartwatches,Smartwatches,,,1,1,public,VEND004,Sleek Monitor 87 | GlobalTech,Discover the new Sleek Monitor 87 from GlobalTech. Perfect for your needs.,"monitor, sleek, globaltech, electronics"
SKU-0088,Ergonomic Headphones 88,A high-quality headphones with ergonomic features.,This is a detailed description for the new Ergonomic Headphones 88 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,133,581.55,683.81,461.03,545.35,4.85,24.18,31.65,7.97,Electronics > Gaming,Gaming,Electronics,Consoles,Consoles,,,Consoles,Consoles,,,1,1,public,VEND005,Ergonomic Headphones 88 | TechCorp,Discover the new Ergonomic Headphones 88 from TechCorp. Perfect for your needs.,"headphones, ergonomic, techcorp, electronics"
SKU-0089,High-Resolution Laptop 89,A high-quality laptop with high-resolution features.,This is a detailed description for the new High-Resolution Laptop 89 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,12,1179.84,1327.46,837.29,1107.96,1.63,20.77,37.75,14.17,Electronics > Gaming,Gaming,Electronics,PC Gaming,PC Gaming,,,PC Gaming,PC Gaming,,,1,1,public,VEND002,High-Resolution Laptop 89 | ElectroWorks,Discover the new High-Resolution Laptop 89 from ElectroWorks. Perfect for your needs.,"laptop, high-resolution, electroworks, electronics"
SKU-0090,High-Resolution E-Reader 90,A high-quality e-reader with high-resolution features.,This is a detailed description for the new High-Resolution E-Reader 90 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,58,1222.18,1393.02,825.44,1113.33,1.95,24.48,19.33,12.6,Electronics > Audio,Audio,Electronics,Headphones,Speakers,,,Headphones,Speakers,,,1,0,public,VEND005,High-Resolution E-Reader 90 | TechCorp,Discover the new High-Resolution E-Reader 90 from TechCorp. Perfect for your needs.,"e-reader, high-resolution, techcorp, electronics"
SKU-0091,Professional Headphones 91,A high-quality headphones with professional features.,This is a detailed description for the new Professional Headphones 91 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,149,630.36,683.45,455.77,597.23,2.9,37.44,11.37,5.46,Electronics > Gaming,Gaming,Electronics,Consoles,Consoles,,,Consoles,Consoles,,,0,1,private,VEND003,Professional Headphones 91 | TechCorp,Discover the new Professional Headphones 91 from TechCorp. Perfect for your needs.,"headphones, professional, techcorp, electronics"
SKU-0092,Ergonomic Smartwatch 92,A high-quality smartwatch with ergonomic features.,This is a detailed description for the new Ergonomic Smartwatch 92 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,63,1951.34,2053.54,1537.25,1698.09,2.59,42.84,9.85,5.44,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Drones,Drones,,,Drones,Drones,,,1,1,public,VEND005,Ergonomic Smartwatch 92 | TechCorp,Discover the new Ergonomic Smartwatch 92 from TechCorp. Perfect for your needs.,"smartwatch, ergonomic, techcorp, electronics"
SKU-0093,Waterproof Drone 93,A high-quality drone with waterproof features.,This is a detailed description for the new Waterproof Drone 93 from the ElectroWorks lineup. It is designed for optimal performance and user experience.,ElectroWorks,,119,1504.8,1705.94,909.36,1335.54,2.69,6.16,8.12,2.8,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Digital Cameras,Digital Cameras,,,Digital Cameras,Digital Cameras,,,0,1,private,VEND005,Waterproof Drone 93 | ElectroWorks,Discover the new Waterproof Drone 93 from ElectroWorks. Perfect for your needs.,"drone, waterproof, electroworks, electronics"
SKU-0094,High-Resolution Smartwatch 94,A high-quality smartwatch with high-resolution features.,This is a detailed description for the new High-Resolution Smartwatch 94 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,148,1425.77,1671.77,973.8,1326.54,3.88,5.86,8.47,7.7,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Monitors,Tablets,Laptops,,Monitors,Tablets,Laptops,,0,0,private,VEND002,High-Resolution Smartwatch 94 | GlobalTech,Discover the new High-Resolution Smartwatch 94 from GlobalTech. Perfect for your needs.,"smartwatch, high-resolution, globaltech, electronics"
SKU-0095,Sleek E-Reader 95,A high-quality e-reader with sleek features.,This is a detailed description for the new Sleek E-Reader 95 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,27,75.36,86.72,57.16,65.13,0.57,39.47,22.9,3.17,Electronics > Computers & Tablets,Computers & Tablets,Electronics,Tablets,Tablets,Tablets,,Tablets,Tablets,Tablets,,0,0,private,VEND003,Sleek E-Reader 95 | GlobalTech,Discover the new Sleek E-Reader 95 from GlobalTech. Perfect for your needs.,"e-reader, sleek, globaltech, electronics"
SKU-0096,Waterproof Drone 96,A high-quality drone with waterproof features.,This is a detailed description for the new Waterproof Drone 96 from the GlobalTech lineup. It is designed for optimal performance and user experience.,GlobalTech,,127,1752.61,1876.49,1387.49,1662.8,1.47,22.72,28.18,1.55,Electronics > Cameras & Drones,Cameras & Drones,Electronics,Drones,Digital Cameras,,,Drones,Digital Cameras,,,1,1,public,VEND005,Waterproof Drone 96 | GlobalTech,Discover the new Waterproof Drone 96 from GlobalTech. Perfect for your needs.,"drone, waterproof, globaltech, electronics"
SKU-0097,Sleek Camera 97,A high-quality camera with sleek features.,This is a detailed description for the new Sleek Camera 97 from the DigitalPrime lineup. It is designed for optimal performance and user experience.,DigitalPrime,,119,174.84,196.26,123.63,148.95,4.5,20.14,6.72,1.9,Electronics > Audio,Audio,Electronics,Speakers,Speakers,,,Speakers,Speakers,,,0,1,private,VEND005,Sleek Camera 97 | DigitalPrime,Discover the new Sleek Camera 97 from DigitalPrime. Perfect for your needs.,"camera, sleek, digitalprime, electronics"
SKU-0098,Noise-Cancelling Gaming Console 98,A high-quality gaming console with noise-cancelling features.,This is a detailed description for the new Noise-Cancelling Gaming Console 98 from the InnoGadgets lineup. It is designed for optimal performance and user experience.,InnoGadgets,,48,965.39,1078.54,722.64,886.15,4.91,21.0,35.41,11.05,Electronics > Audio,Audio,Electronics,Speakers,Headphones,,,Speakers,Headphones,,,1,0,public,VEND002,Noise-Cancelling Gaming Console 98 | InnoGadgets,Discover the new Noise-Cancelling Gaming Console 98 from InnoGadgets. Perfect for your needs.,"gaming console, noise-cancelling, innogadgets, electronics"
SKU-0099,Professional Smartphone 99,A high-quality smartphone with professional features.,This is a detailed description for the new Professional Smartphone 99 from the TechCorp lineup. It is designed for optimal performance and user experience.,TechCorp,,31,1450.88,1559.11,1074.28,1364.83,4.77,46.28,39.58,8.47,Electronics > Gaming,Gaming,Electronics,PC Gaming,PC Gaming,,,PC Gaming,PC Gaming,,,1,0,public,VEND004,Professional Smartphone 99 | TechCorp,Discover the new Professional Smartphone 99 from TechCorp. Perfect for your needs.,"smartphone, professional, techcorp, electronics"
